CNRM-CM6-1	SImon	sndmasssubl
IPSL-CM6A-LR	E3hr	vas
E3SM-1-0	Amon	rlus
GFDL-CM4	AERmon	chepasoa
CESM2	ImonAnt	rsus
CNRM-CM6-1	SImon	siflsensupbot
CNRM-CM6-1	CF3hr	rsuscs
GISS-E2-1-G	day	tasmax
CNRM-CM6-1	Amon	tauu
CESM2	LImon	snc
IPSL-CM6A-LR	CFsubhr	tntscpbl
CESM2-WACCM	IfxGre	topg
GFDL-CM4	AERmon	od550lt1aer
HadGEM3-GC31-LL	Amon	clwvi
CNRM-ESM2-1	SImon	sisaltmass
CESM2	Emon	nLitterCwd
CESM2	Emon	fVegLitterSenescence
GFDL-CM4	SImon	sisnconc
CNRM-ESM2-1	Omon	uo
IPSL-CM6A-ATM-HR	CFday	rsdt
IPSL-CM6A-LR	Emon	flandice
CNRM-CM6-1	Omon	so
HadGEM3-GC31-LL	Amon	rsdscs
CNRM-ESM2-1	3hr	prsn
MIROC6	CFmon	rld
CESM2	Amon	pr
CNRM-ESM2-1	CFsubhr	rsu
CNRM-ESM2-1	AERmon	cdnc
BCC-CSM2-MR	SImon	sitempbot
GISS-E2-1-G	LImon	mrroIs
CNRM-CM6-1	CFsubhr	rlus
CNRM-ESM2-1	Emon	fAnthDisturb
MRI-ESM2-0	Amon	hurs
GFDL-CM4	day	hfls
IPSL-CM6A-ATM-HR	CFday	clw
CNRM-CM6-1	CFmon	tnhusmp
GFDL-CM4	day	tasmax
CESM2-WACCM	AERmonZ	ch4
IPSL-CM6A-ATM-HR	Amon	zg
CESM2-WACCM	Emon	fLulccResidueLut
IPSL-CM6A-ATM-HR	CFmon	tnhusscpbl
IPSL-CM6A-LR	E3hr	rsutcs
CESM2	Amon	cfc11global
CESM2-WACCM	Amon	cli
CNRM-CM6-1	AERday	zg500
CESM2-WACCM	ImonGre	icem
IPSL-CM6A-LR	Lmon	cSoilSlow
GFDL-CM4	3hr	tslsi
IPSL-CM6A-LR	E3hrPt	sza
BCC-ESM1	Amon	rsut
MRI-ESM2-0	Amon	rlus
CESM2	Omon	phabioos
CNRM-CM6-1	Lmon	npp
CNRM-ESM2-1	E3hr	sfcWind
CNRM-ESM2-1	Emon	cSoilPools
CNRM-CM6-1	Omon	bigthetaoga
CNRM-CM6-1	AERmon	ps
CESM2-WACCM	Emon	raLut
CESM2-WACCM	ImonAnt	acabf
MIROC6	Amon	tauu
CNRM-CM6-1	LImon	lwsnl
IPSL-CM6A-LR	LImon	rsdsIs
CNRM-CM6-1	Emon	clwvic
CESM2-WACCM	Emon	mrsol
CESM2-WACCM	CFday	ua
CNRM-CM6-1	day	mrso
IPSL-CM6A-LR	Oyr	expsi
CESM2	Emon	mrsll
IPSL-CM6A-ATM-HR	3hr	clt
CNRM-CM6-1	CFsubhr	tnhusa
IPSL-CM6A-LR	SImon	simassacrossline
CESM2	CFmon	clhcalipso
IPSL-CM6A-LR	Oyr	chl
CNRM-ESM2-1	SImon	siv
CESM2-WACCM	EmonZ	epfy
BCC-CSM2-MR	Amon	cct
CESM2-WACCM	Oyr	chlpico
CESM2-WACCM	AERmon	emiisop
BCC-CSM2-MR	SIday	sitemptop
CNRM-CM6-1	CFsubhr	tnta
CESM2-WACCM	Emon	rhSoil
CESM2-WACCM	Omon	limfediaz
BCC-ESM1	SImon	sidmassgrowthwat
CESM2	Amon	clw
CESM2-WACCM	day	tas
CNRM-ESM2-1	Emon	rlusLut
GFDL-CM4	Amon	clwvi
IPSL-CM6A-LR	CFmon	rsdcs
CESM2	SIday	sithick
CNRM-ESM2-1	CFsubhr	hurs
CNRM-ESM2-1	EdayZ	ua
CESM2	Lmon	cLeaf
IPSL-CM6A-LR	Amon	hurs
IPSL-CM6A-LR	Esubhr	rlut
IPSL-CM6A-LR	Emon	rhTree
CNRM-CM6-1	CF3hr	ts
E3SM-1-0	Amon	huss
IPSL-CM6A-LR	Emon	tnhusscp
CESM2	Amon	va
BCC-ESM1	Amon	tas
GFDL-AM4	Amon	rlutcs
CNRM-CM6-1	Eday	va
IPSL-CM6A-LR	Lmon	grassFrac
IPSL-CM6A-ATM-HR	Lmon	mrsos
GFDL-AM4	Omon	prra
CNRM-ESM2-1	Lmon	fLitterSoil
GFDL-AM4	Amon	hfls
CNRM-CM6-1	SImon	sidconcdyn
CNRM-ESM2-1	Eday	loadbc
CESM2-WACCM	Omon	calc
CESM2-WACCM	Oyr	opottemptend
GISS-E2-1-G	LImon	snw
IPSL-CM6A-LR	CF3hr	zfull
CESM2	Omon	tob
MIROC6	Amon	uas
CESM2	Emon	mrsosLut
IPSL-CM6A-LR	Omon	o2os
CNRM-CM6-1	CFmon	clcalipso
CNRM-CM6-1	Omon	masscello
CNRM-ESM2-1	SImon	siflcondbot
BCC-ESM1	Amon	evspsbl
GFDL-CM4	AERmon	tatp
CESM2	Emon	rsusLut
GISS-E2-1-G	Amon	rsuscs
CNRM-CM6-1	E3hrPt	jpdftaureicemodis
BCC-ESM1	Lmon	evspsblsoi
IPSL-CM6A-LR	Omon	zmeso
IPSL-CM6A-LR	Eyr	fracLut
GISS-E2-1-G	6hrPlevPt	zg
CNRM-CM6-1	day	va
IPSL-CM6A-LR	Oclim	diftrblo
