   CMIP5ModelName    RCP2.6   4.5    6.0    8.5
    ncar_ccsm3_0     0.65   0.31   0.68
    ukmo_hadgem1      NaN  -0.17  -0.76
     ukmo_hadcm3     0.09   0.23   0.69
ENA JJA
     bccr_bcm2_0    -0.12  -0.11  -0.22
   cccma_cgcm3_1    -0.26  -0.27  -0.27
cccma_cgcm3_1_t6    -0.23  -0.25    NaN
        cnrm_cm3    -0.01  -0.18  -0.22
     csiro_mk3_0    -0.10  -0.08  -0.10
     csiro_mk3_5      NaN  -0.06    NaN
      gfdl_cm2_0    -0.03  -0.17  -0.08
      gfdl_cm2_1    -0.04  -0.22   0.01
        giss_aom     0.10   0.12    NaN
  giss_model_e_h      NaN   0.08    NaN
  giss_model_e_r     0.25    NaN   0.05
 iap_fgoals1_0_g     0.08   0.00    NaN
     ingv_echam4      NaN  -0.14  -0.37
        inmcm3_0    -0.02  -0.11  -0.12
        ipsl_cm4      NaN    NaN    NaN
  miroc3_2_hires    -0.06  -0.30    NaN
 miroc3_2_medres    -0.27  -0.56  -0.22
      mpi_echam5     0.01  -0.12   0.40
     miub_echo_g     0.10  -0.03   0.37
  mri_cgcm2_3_2a    -0.02  -0.02   0.30
       ncar_pcm1     0.15   0.03   0.09
    ncar_ccsm3_0     0.46  -0.30  -0.39
    ukmo_hadgem1      NaN  -0.38  -0.40
     ukmo_hadcm3     0.07  -0.03  -0.13
ENA SON
     bccr_bcm2_0     0.07   0.12  -0.23
   cccma_cgcm3_1     0.03   0.13   0.75
cccma_cgcm3_1_t6     0.05   0.11    NaN
        cnrm_cm3     0.11   0.15   0.23
     csiro_mk3_0     0.02   0.15  -0.17
     csiro_mk3_5      NaN   0.37    NaN
      gfdl_cm2_0     0.25   0.29   0.30
      gfdl_cm2_1     0.04   0.26   0.85
        giss_aom     0.04   0.01    NaN
  giss_model_e_h      NaN   0.24    NaN
  giss_model_e_r    -0.27    NaN  -0.07
 iap_fgoals1_0_g     0.00  -0.01    NaN
     ingv_echam4      NaN   0.30  -0.44
        inmcm3_0     0.25   0.11   0.01
        ipsl_cm4      NaN    NaN    NaN
  miroc3_2_hires     0.12  -0.21    NaN
 miroc3_2_medres     0.06  -0.23   0.32
      mpi_echam5     0.34   0.34   0.32
     miub_echo_g     0.02  -0.06  -0.36
  mri_cgcm2_3_2a     0.33   0.36   0.45
       ncar_pcm1     0.42   0.38   0.72
    ncar_ccsm3_0     0.26   0.19   0.24
    ukmo_hadgem1      NaN   0.13  -0.11
     ukmo_hadcm3     0.26   0.29   0.39
ENA ANN
     bccr_bcm2_0    -0.01   0.03  -0.29
   cccma_cgcm3_1     0.04   0.12   0.40
cccma_cgcm3_1_t6     0.11   0.18    NaN
        cnrm_cm3     0.02  -0.02   0.10
     csiro_mk3_0     0.03   0.11  -0.13
     csiro_mk3_5      NaN   0.71    NaN
      gfdl_cm2_0     0.12   0.08   0.08
      gfdl_cm2_1     0.03   0.01   0.26
        giss_aom     0.04   0.04    NaN
  giss_model_e_h      NaN   0.11    NaN
  giss_model_e_r    -0.12    NaN  -0.02
 iap_fgoals1_0_g     0.02  -0.00    NaN
     ingv_echam4      NaN   0.13  -0.20
        inmcm3_0     0.09   0.04   0.10
        ipsl_cm4      NaN    NaN    NaN
  miroc3_2_hires     0.09  -0.06    NaN
 miroc3_2_medres    -0.03  -0.26  -0.13
      mpi_echam5     0.25   0.18   0.22
     miub_echo_g     0.01  -0.04  -0.09
  mri_cgcm2_3_2a     0.09   0.11   0.03
       ncar_pcm1     0.13   0.19   0.20
    ncar_ccsm3_0     0.28   0.03   0.01
    ukmo_hadgem1      NaN  -0.01  -0.21
     ukmo_hadcm3     0.20   0.27   0.24
CAM DJF
     bccr_bcm2_0    -0.26  -0.41   0.03
   cccma_cgcm3_1     0.05   0.08  -0.05
cccma_cgcm3_1_t6     0.20   0.06    NaN
        cnrm_cm3    -0.27  -0.22  -0.54
     csiro_mk3_0    -0.06  -0.19  -0.18
     csiro_mk3_5      NaN  -0.35    NaN
      gfdl_cm2_0     0.05   0.08  -0.33
      gfdl_cm2_1     0.02  -0.01  -0.20
        giss_aom     0.01  -0.18    NaN
  giss_model_e_h      NaN  -0.16    NaN
  giss_model_e_r    -0.14    NaN  -0.17
 iap_fgoals1_0_g    -0.10  -0.04    NaN
     ingv_echam4      NaN  -0.22  -0.24
        inmcm3_0    -0.09  -0.06   0.05
        ipsl_cm4      NaN    NaN    NaN
  miroc3_2_hires    -0.19  -0.34    NaN
 miroc3_2_medres     0.02  -0.04   0.35
      mpi_echam5    -0.07  -0.12  -0.46
     miub_echo_g    -0.13  -0.11  -0.09
  mri_cgcm2_3_2a    -0.12  -0.09  -0.08
       ncar_pcm1     0.19   0.07   0.09
    ncar_ccsm3_0     0.34  -0.33  -0.23
    ukmo_hadgem1      NaN  -0.43  -0.69
     ukmo_hadcm3    -0.18  -0.22  -0.19
CAM MAM
     bccr_bcm2_0    -0.12  -0.19   0.01
   cccma_cgcm3_1     0.04  -0.07   0.02
cccma_cgcm3_1_t6     0.01  -0.10    NaN
        cnrm_cm3    -0.17  -0.06  -0.83
     csiro_mk3_0    -0.13  -0.24  -0.06
     csiro_mk3_5      NaN  -0.19    NaN
      gfdl_cm2_0     0.01  -0.10  -0.36
      gfdl_cm2_1    -0.20  -0.20  -0.68
        giss_aom     0.08  -0.02    NaN
  giss_model_e_h      NaN  -0.40    NaN
  giss_model_e_r    -0.05    NaN  -0.66
 iap_fgoals1_0_g    -0.09   0.01    NaN
     ingv_echam4      NaN  -0.08   0.49
        inmcm3_0    -0.02  -0.16  -0.17
        ipsl_cm4      NaN    NaN    NaN
  miroc3_2_hires     0.14   0.02    NaN
 miroc3_2_medres    -0.01  -0.05  -0.06
      mpi_echam5    -0.06  -0.14  -0.38
     miub_echo_g     0.31   0.38   0.22
  mri_cgcm2_3_2a    -0.01  -0.12  -0.37
       ncar_pcm1    -0.15  -0.05  -0.06
    ncar_ccsm3_0    -0.33  -0.25  -0.26
    ukmo_hadgem1      NaN  -0.68  -1.01
     ukmo_hadcm3    -0.17  -0.15  -0.12
CAM JJA
     bccr_bcm2_0     0.08  -0.21  -0.56
   cccma_cgcm3_1    -0.51  -0.70  -0.70
cccma_cgcm3_1_t6    -0.76  -1.09    NaN
        cnrm_cm3     0.01  -0.07  -0.91
     csiro_mk3_0    -0.15  -0.29  -0.16
     csiro_mk3_5      NaN   0.41    NaN
      gfdl_cm2_0     0.09  -0.47   0.28
      gfdl_cm2_1    -0.17  -0.30  -0.64
        giss_aom     0.23   0.24    NaN
  giss_model_e_h      NaN  -0.06    NaN
  giss_model_e_r     0.06    NaN  -0.19
 iap_fgoals1_0_g    -0.24  -0.23    NaN
     ingv_echam4      NaN   0.10   0.29
        inmcm3_0    -0.46  -0.68  -0.80
        ipsl_cm4      NaN    NaN    NaN
  miroc3_2_hires    -0.76  -1.04    NaN
 miroc3_2_medres    -0.33  -0.47  -0.80
      mpi_echam5    -0.12  -0.20  -0.75
     miub_echo_g     0.55   0.48   0.29
  mri_cgcm2_3_2a    -0.05  -0.43  -1.25
       ncar_pcm1    -0.43   0.63  -0.09
    ncar_ccsm3_0    -0.18  -0.52  -0.73
    ukmo_hadgem1      NaN  -1.85  -3.15
     ukmo_hadcm3    -0.68  -1.09  -0.05
CAM SON
     bccr_bcm2_0     0.07   0.09  -0.38
   cccma_cgcm3_1    -0.20  -0.54  -0.73
cccma_cgcm3_1_t6    -0.64  -0.83    NaN
        cnrm_cm3     0.04   0.01   0.09
     csiro_mk3_0    -0.05  -0.30  -0.42
     csiro_mk3_5      NaN  -0.61    NaN
      gfdl_cm2_0     0.15   0.08   0.68
      gfdl_cm2_1    -0.04   0.12  -0.67
        giss_aom     0.05   0.08    NaN
  giss_model_e_h      NaN   0.22    NaN
  giss_model_e_r    -0.16    NaN   0.07
 iap_fgoals1_0_g    -0.15  -0.19    NaN
     ingv_echam4      NaN  -0.06  -0.01
        inmcm3_0    -0.15  -0.12  -0.37
        ipsl_cm4      NaN    NaN    NaN
  miroc3_2_hires    -0.07  -0.63    NaN
 miroc3_2_medres     0.35   0.28  -0.46
      mpi_echam5     0.33   0.46   1.28
     miub_echo_g     0.05   0.25  -0.11
  mri_cgcm2_3_2a     0.51   0.39   0.05
       ncar_pcm1    -0.22  -0.12  -0.15
    ncar_ccsm3_0     0.55   0.33  -0.31
    ukmo_hadgem1      NaN  -0.45  -0.87
     ukmo_hadcm3    -0.59  -0.84   0.24
CAM ANN
     bccr_bcm2_0    -0.06  -0.18  -0.22
   cccma_cgcm3_1    -0.15  -0.31  -0.37
cccma_cgcm3_1_t6    -0.30  -0.49    NaN
        cnrm_cm3    -0.10  -0.08  -0.55
     csiro_mk3_0    -0.10  -0.25  -0.21
     csiro_mk3_5      NaN  -0.19    NaN
      gfdl_cm2_0     0.08  -0.10   0.07
      gfdl_cm2_1    -0.10  -0.10  -0.55
        giss_aom     0.09   0.03    NaN
  giss_model_e_h      NaN  -0.10    NaN
  giss_model_e_r    -0.07    NaN  -0.24
 iap_fgoals1_0_g    -0.14  -0.11    NaN
     ingv_echam4      NaN  -0.07   0.13
        inmcm3_0    -0.18  -0.25  -0.32
        ipsl_cm4      NaN    NaN    NaN
  miroc3_2_hires    -0.22  -0.50    NaN
 miroc3_2_medres     0.01  -0.07  -0.24
      mpi_echam5     0.02  -0.00  -0.08
     miub_echo_g     0.20   0.25   0.08
  mri_cgcm2_3_2a     0.08  -0.06  -0.41
       ncar_pcm1    -0.15   0.13  -0.05
    ncar_ccsm3_0     0.09  -0.19  -0.38
    ukmo_hadgem1      NaN  -0.85  -1.43
     ukmo_hadcm3    -0.40  -0.58  -0.03
AMZ DJF
     bccr_bcm2_0     0.14   0.26   0.43
   cccma_cgcm3_1     0.08   0.15  -0.04
cccma_cgcm3_1_t6     0.03   0.02    NaN
        cnrm_cm3     0.07   0.04  -0.40
     csiro_mk3_0     0.02  -0.07   0.04
     csiro_mk3_5      NaN  -1.58    NaN
      gfdl_cm2_0     0.12  -0.21  -2.87
      gfdl_cm2_1     0.03   0.36  -1.17
        giss_aom     0.04   0.14    NaN
  giss_model_e_h      NaN   0.81    NaN
  giss_model_e_r     0.13    NaN   0.62
 iap_fgoals1_0_g    -0.02  -0.03    NaN
     ingv_echam4      NaN   0.06  -0.05
        inmcm3_0     0.19   0.39   0.11
        ipsl_cm4      NaN    NaN    NaN
  miroc3_2_hires    -0.01  -0.13    NaN
 miroc3_2_medres     0.21   0.13   1.14
      mpi_echam5     0.59   0.58   0.56
     miub_echo_g     0.67   0.82   1.10
  mri_cgcm2_3_2a     0.25   0.33   0.16
       ncar_pcm1     0.27   0.65   1.14
    ncar_ccsm3_0     0.12   0.47   0.49
    ukmo_hadgem1      NaN  -1.21  -1.08
     ukmo_hadcm3    -0.48  -0.69  -0.49
AMZ MAM
     bccr_bcm2_0     0.13   0.26   0.97
   cccma_cgcm3_1     0.05   0.07  -0.14
cccma_cgcm3_1_t6    -0.06  -0.04    NaN
        cnrm_cm3     0.09   0.23  -0.41
     csiro_mk3_0     0.14  -0.05  -0.10
     csiro_mk3_5      NaN  -1.59    NaN
      gfdl_cm2_0     0.18   0.14   0.04
      gfdl_cm2_1     0.09   0.54  -0.35
        giss_aom     0.04   0.13    NaN
  giss_model_e_h      NaN   0.20    NaN
  giss_model_e_r    -0.24    NaN   0.05
 iap_fgoals1_0_g    -0.02   0.04    NaN
     ingv_echam4      NaN   0.43   0.40
        inmcm3_0    -0.37  -0.46  -0.03
        ipsl_cm4      NaN    NaN    NaN
  miroc3_2_hires     0.18   0.05    NaN
 miroc3_2_medres     0.13   0.09  -0.61
      mpi_echam5     0.13   0.37   0.39
     miub_echo_g     0.40   0.81   0.44
  mri_cgcm2_3_2a     0.33   0.20   0.25
       ncar_pcm1    -0.12   0.62   0.76
    ncar_ccsm3_0     0.27   0.07   0.35
    ukmo_hadgem1      NaN  -1.14  -1.76
     ukmo_hadcm3    -0.21  -0.49  -0.19
AMZ JJA
     bccr_bcm2_0     0.14   0.01   0.43
   cccma_cgcm3_1    -0.11  -0.15  -0.25
cccma_cgcm3_1_t6    -0.02  -0.09    NaN
        cnrm_cm3    -0.14  -0.23  -0.22
     csiro_mk3_0    -0.06  -0.04  -0.19
     csiro_mk3_5      NaN   0.13    NaN
      gfdl_cm2_0    -0.10  -0.16   0.17
      gfdl_cm2_1    -0.23  -0.34  -0.40
        giss_aom    -0.10   0.02    NaN
  giss_model_e_h      NaN   0.23    NaN
  giss_model_e_r     0.49    NaN   0.59
 iap_fgoals1_0_g     0.03   0.05    NaN
     ingv_echam4      NaN   0.10   0.03
        inmcm3_0    -0.11  -0.11   0.08
        ipsl_cm4      NaN    NaN    NaN
  miroc3_2_hires    -0.46  -0.54    NaN
 miroc3_2_medres    -0.27  -0.37  -0.51
      mpi_echam5    -0.17  -0.28   0.24
     miub_echo_g     0.05   0.17   0.19
  mri_cgcm2_3_2a    -0.05  -0.12  -0.38
       ncar_pcm1    -0.24   0.32   0.00
    ncar_ccsm3_0     0.01  -0.01  -0.43
    ukmo_hadgem1      NaN  -0.50  -0.28
     ukmo_hadcm3    -0.55  -0.93  -0.31
AMZ SON
     bccr_bcm2_0     0.40   0.44   0.78
   cccma_cgcm3_1    -0.00  -0.12   0.27
cccma_cgcm3_1_t6    -0.20  -0.31    NaN
        cnrm_cm3     0.19   0.15   0.06
     csiro_mk3_0    -0.15  -0.30   0.30
     csiro_mk3_5      NaN  -0.15    NaN
      gfdl_cm2_0    -0.40  -0.77  -0.19
      gfdl_cm2_1    -0.34  -0.49  -0.66
        giss_aom    -0.06   0.03    NaN
  giss_model_e_h      NaN   0.71    NaN
  giss_model_e_r     0.63    NaN   0.94
 iap_fgoals1_0_g    -0.03  -0.06    NaN
     ingv_echam4      NaN  -0.10  -0.25
        inmcm3_0    -0.05   0.10   0.21
        ipsl_cm4      NaN    NaN    NaN
  miroc3_2_hires    -0.21  -0.26    NaN
 miroc3_2_medres    -0.07  -0.12  -0.74
      mpi_echam5    -0.81  -0.72  -1.02
     miub_echo_g     0.54   0.88   0.37
  mri_cgcm2_3_2a    -0.08  -0.01  -0.36
       ncar_pcm1     0.49   1.02   0.29
    ncar_ccsm3_0     0.30   0.80   0.42
    ukmo_hadgem1      NaN  -1.08  -0.62
     ukmo_hadcm3    -1.24  -1.61  -1.66
AMZ ANN
     bccr_bcm2_0     0.20   0.24   0.65
   cccma_cgcm3_1     0.00  -0.01  -0.04
cccma_cgcm3_1_t6    -0.06  -0.11    NaN
        cnrm_cm3     0.05   0.05  -0.24
     csiro_mk3_0    -0.01  -0.12   0.01
     csiro_mk3_5      NaN  -0.80    NaN
      gfdl_cm2_0    -0.05  -0.25  -0.71
      gfdl_cm2_1    -0.11   0.02  -0.65
        giss_aom    -0.02   0.08    NaN
  giss_model_e_h      NaN   0.49    NaN
  giss_model_e_r     0.25    NaN   0.55
 iap_fgoals1_0_g    -0.01  -0.00    NaN
     ingv_echam4      NaN   0.12   0.03
        inmcm3_0    -0.08  -0.02   0.09
        ipsl_cm4      NaN    NaN    NaN
  miroc3_2_hires    -0.12  -0.22    NaN
 miroc3_2_medres     0.00  -0.07  -0.18
      mpi_echam5    -0.07  -0.01   0.04
     miub_echo_g     0.41   0.67   0.52
  mri_cgcm2_3_2a     0.11   0.10  -0.09
       ncar_pcm1     0.10   0.65   0.55
    ncar_ccsm3_0     0.18   0.33   0.21
    ukmo_hadgem1      NaN  -0.98  -0.94
     ukmo_hadcm3    -0.62  -0.93  -0.66
NEB DJF
     bccr_bcm2_0     0.77   1.40   1.51
   cccma_cgcm3_1    -0.65  -0.52  -0.45
cccma_cgcm3_1_t6    -0.43  -0.39    NaN
        cnrm_cm3     1.60   1.86   1.80
     csiro_mk3_0     0.16   0.16   1.72
     csiro_mk3_5      NaN  -0.65    NaN
      gfdl_cm2_0    -0.67  -0.81  -3.15
      gfdl_cm2_1    -0.21  -0.13  -0.78
        giss_aom     0.25   0.27    NaN
  giss_model_e_h      NaN   0.65    NaN
  giss_model_e_r    -0.04    NaN   0.41
 iap_fgoals1_0_g    -0.23  -0.56    NaN
     ingv_echam4      NaN   0.26   0.98
        inmcm3_0     0.07   0.40  -0.13
        ipsl_cm4      NaN    NaN    NaN
  miroc3_2_hires    -0.12   0.01    NaN
 miroc3_2_medres    -1.59  -1.49  -1.23
      mpi_echam5     0.28   0.51   0.77
     miub_echo_g     0.53   0.64   0.68
  mri_cgcm2_3_2a     0.35   0.23   0.63
       ncar_pcm1    -0.19  -0.68  -0.28
    ncar_ccsm3_0     0.52  -0.82   0.28
    ukmo_hadgem1      NaN   0.97   0.01
     ukmo_hadcm3    -1.07  -1.77  -0.95
NEB MAM
     bccr_bcm2_0     0.27   0.25   0.79
   cccma_cgcm3_1    -0.04  -0.40  -1.03
cccma_cgcm3_1_t6    -0.07  -0.06    NaN
        cnrm_cm3     0.17   0.16   0.52
     csiro_mk3_0     0.42   0.70   0.30
     csiro_mk3_5      NaN  -1.10    NaN
      gfdl_cm2_0    -0.72  -0.87   1.05
      gfdl_cm2_1    -0.49  -0.63  -0.60
        giss_aom     0.03   0.22    NaN
  giss_model_e_h      NaN   0.27    NaN
  giss_model_e_r    -0.72    NaN   0.08
 iap_fgoals1_0_g    -0.06  -0.31    NaN
     ingv_echam4      NaN   0.09   0.21
        inmcm3_0    -0.04   0.06   0.70
        ipsl_cm4      NaN    NaN    NaN
  miroc3_2_hires    -0.23   0.13    NaN
 miroc3_2_medres    -0.40  -0.68  -2.28
      mpi_echam5     0.13   0.48   0.24
     miub_echo_g    -0.18  -0.29   0.14
  mri_cgcm2_3_2a    -0.24  -0.17   0.67
       ncar_pcm1    -0.00  -0.17   0.36
    ncar_ccsm3_0     0.34  -0.11   0.05
    ukmo_hadgem1      NaN   0.95  -0.40
     ukmo_hadcm3    -0.78  -1.76  -0.94
NEB JJA
     bccr_bcm2_0     0.04   0.02   1.00
   cccma_cgcm3_1    -0.00  -0.24   0.12
cccma_cgcm3_1_t6    -0.05  -0.07    NaN
        cnrm_cm3    -0.05  -0.09  -0.03
     csiro_mk3_0    -0.03  -0.03  -0.07
     csiro_mk3_5      NaN  -0.03    NaN
      gfdl_cm2_0    -0.06  -0.11  -0.05
      gfdl_cm2_1    -0.10  -0.16  -0.20
        giss_aom    -0.05   0.01    NaN
  giss_model_e_h      NaN  -0.24    NaN
  giss_model_e_r     0.10    NaN   0.23
 iap_fgoals1_0_g     0.07   0.08    NaN
     ingv_echam4      NaN  -0.20  -0.04
        inmcm3_0    -0.03   0.01   0.04
        ipsl_cm4      NaN    NaN    NaN
  miroc3_2_hires    -0.14  -0.20    NaN
 miroc3_2_medres    -0.16  -0.27  -0.35
      mpi_echam5    -0.08  -0.08  -0.15
     miub_echo_g    -0.30  -0.38  -0.28
  mri_cgcm2_3_2a    -0.28  -0.17   0.15
       ncar_pcm1    -0.05  -0.01  -0.09
    ncar_ccsm3_0     0.01   0.16  -0.09
    ukmo_hadgem1      NaN  -0.08  -0.01
     ukmo_hadcm3    -0.19  -0.29  -0.27
NEB SON
     bccr_bcm2_0     0.06  -0.09  -0.22
   cccma_cgcm3_1    -0.07  -0.13  -0.10
cccma_cgcm3_1_t6    -0.10  -0.09    NaN
        cnrm_cm3     0.67   0.80   1.07
     csiro_mk3_0    -0.12  -0.10   0.16
     csiro_mk3_5      NaN  -0.46    NaN
      gfdl_cm2_0    -0.14  -0.26  -0.27
      gfdl_cm2_1    -0.11  -0.18  -0.09
        giss_aom    -0.05   0.12    NaN
  giss_model_e_h      NaN   0.06    NaN
  giss_model_e_r    -0.16    NaN  -0.38
 iap_fgoals1_0_g    -0.08  -0.14    NaN
     ingv_echam4      NaN  -0.20   0.14
        inmcm3_0    -0.26  -0.27  -0.23
        ipsl_cm4      NaN    NaN    NaN
  miroc3_2_hires    -0.21  -0.13    NaN
 miroc3_2_medres    -0.10  -0.39  -0.66
      mpi_echam5    -0.59  -0.57  -0.47
     miub_echo_g    -0.09  -0.11   0.98
  mri_cgcm2_3_2a     0.04   0.03  -0.03
       ncar_pcm1     0.04   0.82   0.26
    ncar_ccsm3_0    -0.14   0.10  -0.52
    ukmo_hadgem1      NaN  -0.61  -0.24
     ukmo_hadcm3    -0.33  -0.46  -0.35
NEB ANN
     bccr_bcm2_0     0.29   0.40   0.77
   cccma_cgcm3_1    -0.19  -0.32  -0.37
cccma_cgcm3_1_t6    -0.16  -0.16    NaN
        cnrm_cm3     0.60   0.68   0.84
     csiro_mk3_0     0.11   0.19   0.52
     csiro_mk3_5      NaN  -0.56    NaN
      gfdl_cm2_0    -0.40  -0.51  -0.60
      gfdl_cm2_1    -0.23  -0.27  -0.42
        giss_aom     0.04   0.16    NaN
  giss_model_e_h      NaN   0.18    NaN
  giss_model_e_r    -0.20    NaN   0.09
 iap_fgoals1_0_g    -0.08  -0.23    NaN
     ingv_echam4      NaN  -0.01   0.32
        inmcm3_0    -0.06   0.05   0.10
        ipsl_cm4      NaN    NaN    NaN
  miroc3_2_hires    -0.17  -0.05    NaN
 miroc3_2_medres    -0.56  -0.71  -1.13
      mpi_echam5    -0.07   0.09   0.10
     miub_echo_g    -0.01  -0.03   0.38
  mri_cgcm2_3_2a    -0.03  -0.02   0.35
       ncar_pcm1    -0.05  -0.01   0.06
    ncar_ccsm3_0     0.18  -0.17  -0.07
    ukmo_hadgem1      NaN   0.31  -0.16
     ukmo_hadcm3    -0.59  -1.07  -0.63
WSA DJF
     bccr_bcm2_0    -0.01  -0.02  -0.28
   cccma_cgcm3_1    -0.07  -0.12  -0.45
cccma_cgcm3_1_t6    -0.03  -0.03    NaN
        cnrm_cm3    -0.12  -0.25  -0.17
     csiro_mk3_0    -0.08  -0.12  -0.23
     csiro_mk3_5      NaN  -0.61    NaN
      gfdl_cm2_0     0.13   0.20  -0.25
      gfdl_cm2_1     0.08   0.23  -0.42
        giss_aom     0.17   0.23    NaN
  giss_model_e_h      NaN   0.22    NaN
  giss_model_e_r     0.11    NaN   0.14
 iap_fgoals1_0_g    -0.04   0.03    NaN
     ingv_echam4      NaN   0.15   0.04
        inmcm3_0     0.01   0.05  -0.23
        ipsl_cm4      NaN    NaN    NaN
  miroc3_2_hires    -0.05  -0.10    NaN
 miroc3_2_medres    -0.04  -0.12   0.27
      mpi_echam5     0.05  -0.05   0.14
     miub_echo_g    -0.05  -0.04  -0.30
  mri_cgcm2_3_2a     0.10   0.10   0.12
       ncar_pcm1     0.18  -0.01  -0.05
    ncar_ccsm3_0     0.03   0.12   0.17
    ukmo_hadgem1      NaN  -0.40  -0.26
     ukmo_hadcm3    -0.11  -0.14  -0.12
WSA MAM
     bccr_bcm2_0    -0.09  -0.05  -0.31
   cccma_cgcm3_1    -0.09  -0.12  -0.08
cccma_cgcm3_1_t6    -0.10  -0.09    NaN
        cnrm_cm3    -0.11  -0.06  -0.08
     csiro_mk3_0    -0.00  -0.04   0.21
     csiro_mk3_5      NaN  -0.30    NaN
      gfdl_cm2_0    -0.01  -0.01  -0.31
      gfdl_cm2_1     0.13   0.13   0.25
        giss_aom     0.04   0.11    NaN
  giss_model_e_h      NaN   0.33    NaN
  giss_model_e_r     0.08    NaN   0.11
 iap_fgoals1_0_g     0.03   0.12    NaN
     ingv_echam4      NaN   0.07   0.04
        inmcm3_0    -0.14  -0.10  -0.09
        ipsl_cm4      NaN    NaN    NaN
  miroc3_2_hires     0.11  -0.02    NaN
 miroc3_2_medres    -0.06  -0.02   0.20
      mpi_echam5    -0.09  -0.12   0.12
     miub_echo_g    -0.06  -0.06  -0.14
  mri_cgcm2_3_2a    -0.02   0.02  -0.10
       ncar_pcm1     0.62   0.40  -0.25
    ncar_ccsm3_0    -0.25   0.11  -0.23
    ukmo_hadgem1      NaN  -0.29  -0.61
     ukmo_hadcm3    -0.00   0.04   0.18
WSA JJA
     bccr_bcm2_0    -0.07  -0.15  -0.12
   cccma_cgcm3_1     0.04   0.01  -0.11
cccma_cgcm3_1_t6     0.00   0.01    NaN
        cnrm_cm3    -0.08  -0.12   0.02
     csiro_mk3_0    -0.08  -0.03  -0.02
     csiro_mk3_5      NaN  -0.46    NaN
      gfdl_cm2_0     0.01  -0.07  -0.03
      gfdl_cm2_1    -0.19  -0.25  -0.25
        giss_aom     0.03   0.06    NaN
  giss_model_e_h      NaN   0.30    NaN
  giss_model_e_r     0.25    NaN   0.16
 iap_fgoals1_0_g     0.04   0.07    NaN
     ingv_echam4      NaN  -0.02  -0.18
        inmcm3_0     0.00  -0.02   0.00
        ipsl_cm4      NaN    NaN    NaN
  miroc3_2_hires    -0.07  -0.07    NaN
 miroc3_2_medres    -0.05  -0.08  -0.17
      mpi_echam5    -0.07  -0.19   0.02
     miub_echo_g     0.13   0.11  -0.07
  mri_cgcm2_3_2a    -0.02   0.00   0.20
       ncar_pcm1     0.05   0.22   0.22
    ncar_ccsm3_0    -0.08  -0.18  -0.25
    ukmo_hadgem1      NaN  -0.06   0.16
     ukmo_hadcm3     0.02  -0.02   0.36
WSA SON
     bccr_bcm2_0     0.01  -0.02  -0.50
   cccma_cgcm3_1    -0.02  -0.04  -0.14
cccma_cgcm3_1_t6    -0.05  -0.02    NaN
        cnrm_cm3    -0.06  -0.12  -0.25
     csiro_mk3_0    -0.05  -0.01  -0.09
     csiro_mk3_5      NaN  -0.02    NaN
      gfdl_cm2_0    -0.17  -0.37  -0.04
      gfdl_cm2_1    -0.23  -0.34  -0.28
        giss_aom    -0.03   0.00    NaN
  giss_model_e_h      NaN   0.03    NaN
  giss_model_e_r     0.47    NaN   0.04
 iap_fgoals1_0_g     0.06   0.03    NaN
     ingv_echam4      NaN   0.11   0.11
        inmcm3_0    -0.08  -0.08  -0.09
        ipsl_cm4      NaN    NaN    NaN
  miroc3_2_hires    -0.02  -0.02    NaN
 miroc3_2_medres    -0.13  -0.21  -0.31
      mpi_echam5    -0.09  -0.14   0.06
     miub_echo_g    -0.02   0.02  -0.09
  mri_cgcm2_3_2a    -0.05  -0.03  -0.06
       ncar_pcm1     0.36  -0.31   0.22
    ncar_ccsm3_0    -0.11  -0.08  -0.24
    ukmo_hadgem1      NaN  -0.36  -0.10
     ukmo_hadcm3    -0.19  -0.16  -0.30
WSA ANN
     bccr_bcm2_0    -0.04  -0.06  -0.30
   cccma_cgcm3_1    -0.04  -0.07  -0.19
cccma_cgcm3_1_t6    -0.04  -0.03    NaN
        cnrm_cm3    -0.09  -0.14  -0.12
     csiro_mk3_0    -0.05  -0.05  -0.04
     csiro_mk3_5      NaN  -0.35    NaN
      gfdl_cm2_0    -0.01  -0.07  -0.16
      gfdl_cm2_1    -0.05  -0.06  -0.17
        giss_aom     0.05   0.10    NaN
  giss_model_e_h      NaN   0.22    NaN
  giss_model_e_r     0.23    NaN   0.11
 iap_fgoals1_0_g     0.02   0.06    NaN
     ingv_echam4      NaN   0.08   0.00
        inmcm3_0    -0.05  -0.04  -0.10
        ipsl_cm4      NaN    NaN    NaN
  miroc3_2_hires    -0.01  -0.05    NaN
 miroc3_2_medres    -0.07  -0.11  -0.00
      mpi_echam5    -0.05  -0.12   0.08
     miub_echo_g     0.00   0.01  -0.15
  mri_cgcm2_3_2a     0.00   0.02   0.04
       ncar_pcm1     0.30   0.07   0.04
    ncar_ccsm3_0    -0.10  -0.01  -0.14
    ukmo_hadgem1      NaN  -0.28  -0.20
     ukmo_hadcm3    -0.07  -0.07   0.03
SSA DJF
     bccr_bcm2_0     0.32   0.29   0.40
   cccma_cgcm3_1     0.24   0.31   0.47
cccma_cgcm3_1_t6     0.33   0.42    NaN
        cnrm_cm3     0.06   0.11   0.24
     csiro_mk3_0     0.06   0.12   0.04
     csiro_mk3_5      NaN   0.88    NaN
      gfdl_cm2_0     0.16   0.12   0.42
